Name,City,Cuisine Style,Ranking,Rating,Number of Reviews,Reviews_WD,Reviews
Tous,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",44,45,257,"Amazing food, great service, Great food and an incredibly friendly host, 01/05/2018, 01/04/2018","Amazing food, great service, Great food and an incredibly friendly host, "
Les Canailles,Paris,"French, European",45,45,496,"Fantastic place, My fav french dans mon quartier, 11/17/2017, 10/14/2017","Fantastic place, My fav french dans mon quartier, "
Pops,Paris,"Italian, French, Vegetarian Friendly, Vegan Options",46,45,220,"Amazing Food, Great food, 12/29/2017, 12/28/2017","Amazing Food, Great food, "
New York a Paris,Paris,"French, American, European, Vegetarian Friendly, Gluten Free Options",47,45,485,"Amazing food and excellent service, Good service and excellent diner, 01/05/2018, 01/05/2018","Amazing food and excellent service, Good service and excellent diner, "
La Petite Rose des Sables,Paris,"French, European, Vegetarian Friendly",48,45,693,"The most lovely owners on the whole Earth, A warm welcome to Paris, 01/03/2018, 12/23/2017","The most lovely owners on the whole Earth, A warm welcome to Paris, "
Pane olio e pomodoro,Paris,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",49,45,305,"Wow, The best restaurant we found during our st, 01/08/2018, 12/14/2017","Wow, The best restaurant we found during our st, "
La Veraison,Paris,"French, Fusion, Vegetarian Friendly, Vegan Options",50,45,513,"Best meal weve ever had, Delicious dinner and wine, 01/03/2018, 11/22/2017","Best meal weve ever had, Delicious dinner and wine, "
La Vache et Le Cuisinier,Paris,"French, European, Vegetarian Friendly",51,45,764,"Wonderful, My “go to” restaurant, 12/29/2017, 12/15/2017","Wonderful, My “go to” restaurant, "
Le Florimond,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",52,45,896,"Excellent meal on New Years Eve; great gl, Unforgettable, 01/03/2018, 12/30/2017","Excellent meal on New Years Eve; great gl, Unforgettable, "
Happy Caffe,Paris,"French, Cafe, Fast Food, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",53,45,259,"Fitting name, Excellent quick Lunch stop, 01/03/2018, 01/03/2018","Fitting name, Excellent quick Lunch stop, "
Le Jeroboam,Paris,"French, European, Contemporary, Gastropub, Seafood, Pub",54,45,462,"One of the best, Excellent food and great service, 11/14/2017, 05/26/2017","One of the best, Excellent food and great service, "
Pizza Julia,Paris,"Italian, Pizza, Vegetarian Friendly, Vegan Options",55,45,406,"Good, Great Pizza, Great Prices, 12/27/2017, 12/10/2017","Good, Great Pizza, Great Prices, "
Mancini,Paris,"Italian, Pizza, European, Vegetarian Friendly",56,45,505,"Very good pizza, Wow, 01/07/2018, 01/04/2018","Very good pizza, Wow, "
Le Chemise,Paris,"Contemporary, Gastropub, French, European",57,45,597,"Simply Wow, Nice, but expensive, 12/20/2017, 12/09/2017","Simply Wow, Nice, but expensive, "
Joe Burger,Paris,"American, Fast Food, Vegetarian Friendly, Vegan Options",58,45,455,"Yummy burgers, Good burgers, Great Prices, 01/03/2018, 01/02/2018","Yummy burgers, Good burgers, Great Prices, "
Bistro Paradis,Paris,"French, European, Vegetarian Friendly, Vegan Options",59,45,325,"Quite a creative little restaurant, A small paradise, 11/12/2017, 11/12/2017","Quite a creative little restaurant, A small paradise, "
Restaurant Guy Savoy,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",60,45,498,"World class dining, Superb, 12/30/2017, 12/08/2017","World class dining, Superb, "
Chez Toinette,Paris,"French, European",61,45,1370,"Excellent restaurant and very friendly ser, Fantastic, 01/01/2018, 12/30/2017","Excellent restaurant and very friendly ser, Fantastic, "
Auberge des Pyrenees Cevennes,Paris,"French, European",62,45,378,"Cassoulet is fantastic - but so is everyth, Memorable culinary experience, 01/03/2018, 12/29/2017","Cassoulet is fantastic - but so is everyth, Memorable culinary experience, "
Les Trublions,Paris,"French, European, Contemporary, Vegetarian Friendly, Vegan Options, Gluten Free Options",63,45,252,"Perfect, Interesting menu, GREAT dessert, 01/07/2018, 01/05/2018","Perfect, Interesting menu, GREAT dessert, "
Ristorante Al Caratello,Paris,"Italian, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",64,45,1180,"Probably the Best Italian restaurant in Pa, Most satisfying meal in Paris, 12/30/2017, 12/24/2017","Probably the Best Italian restaurant in Pa, Most satisfying meal in Paris, "
Restaurant Mariette,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",65,45,1222,"Very flavourful, Great food and superb service, 01/07/2018, 12/30/2017","Very flavourful, Great food and superb service, "
Chez Trassoudaine,Paris,"French, European",66,45,343,"You dont eat in the restaurant, you eat a, Excellent, 01/05/2018, 12/17/2017","You dont eat in the restaurant, you eat a, Excellent, "
Invictus,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",67,45,477,"Divine, Delicious, friendly and inviting, 01/07/2018, 12/28/2017","Divine, Delicious, friendly and inviting, "
Les Papilles,Paris,"French, European, Delicatessen",68,45,1928,"Feeling very formulaic, One the best meals we’ve had, 01/02/2018, 12/31/2017","Feeling very formulaic, One the best meals we’ve had, "
King Marcel - Paris 2eme,Paris,"French, American, Fast Food, Vegetarian Friendly",69,45,475,"Superburgers, Awesome, 12/28/2017, 12/22/2017","Superburgers, Awesome, "
Chez Gabrielle,Paris,"French, European",70,45,864,"Perfect meal, Best meal in Paris, 01/07/2018, 12/29/2017","Perfect meal, Best meal in Paris, "
Apicius,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",71,45,555,"Beautiful space, excellent service, food n, Excellent food, decor a bit over the top t, 12/30/2017, 12/10/2017","Beautiful space, excellent service, food n, Excellent food, decor a bit over the top t, "
Papelli,Paris,"Italian, Pizza, Vegetarian Friendly, Vegan Options",72,45,607,"Delicious Pizza and Tiramisu, The best, 01/06/2018, 01/04/2018","Delicious Pizza and Tiramisu, The best, "
Ze Kitchen Galerie,Paris,"French, European, Asian, Contemporary, Vegetarian Friendly",73,45,1155,"Fantastic, Beautifully Presented, Tastefully Prepared, 12/28/2017, 12/27/2017","Fantastic, Beautifully Presented, Tastefully Prepared, "
LOiseau Blanc Restaurant,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",74,45,683,"Delicious deserts with coffee, If it were a dream, it couldnt be better, 01/05/2018, 01/03/2018","Delicious deserts with coffee, If it were a dream, it couldnt be better, "
La Crete,Paris,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options",75,45,906,"Great atmosphere, Great Greek Meal in Paris, 01/07/2018, 12/17/2017","Great atmosphere, Great Greek Meal in Paris, "
La Cuisine de Philippe,Paris,"French, European, Vegetarian Friendly",76,45,1059,"Wonderful Dinner, Best Soufflé , 01/07/2018, 01/01/2018","Wonderful Dinner, Best Soufflé , "
La Mandigotte,Paris,"French, European, Vegetarian Friendly",77,45,653,"Perfect Take on the Traditional Bistro, Great quality and a good price at this fri, 12/26/2017, 12/24/2017","Perfect Take on the Traditional Bistro, Great quality and a good price at this fri, "
Chez Imogene,Paris,"French, Vegetarian Friendly, Vegan Options, Gluten Free Options",78,45,407,"Best bang for the buck, Wonderful, 12/19/2017, 11/19/2017","Best bang for the buck, Wonderful, "
Bistrotters,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",79,45,2045,"Tout simplement exquis - simply exquisite, A Parisian Treat, 01/04/2018, 12/30/2017","Tout simplement exquis - simply exquisite, A Parisian Treat, "
LAlsacien,Paris,"Wine Bar, French, European, Brew Pub, Vegetarian Friendly, Vegan Options",80,45,652,"Delicious and fun, Great Value and Pizza, 12/29/2017, 12/23/2017","Delicious and fun, Great Value and Pizza, "
Cobea,Paris,"French, European",81,45,609,"My oh my, Quaint Parisian Fine dining, 12/27/2017, 11/01/2017","My oh my, Quaint Parisian Fine dining, "
Le Quinzieme,Paris,"French, European, Vegetarian Friendly",82,45,968,"Perfect Paris, Stunning One of my top dining experiences, 10/19/2017, 09/21/2017","Perfect Paris, Stunning One of my top dining experiences, "
Le Pavillon de la Grande Cascade,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",83,45,791,"Fantastic setting with amazing food, Beautiful setting and quality food, 12/18/2017, 12/18/2017","Fantastic setting with amazing food, Beautiful setting and quality food, "
Loubnane,Paris,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",84,45,952,"Awesome restaurant, vibrant atmosphere, Good food all round, 01/05/2018, 12/18/2017","Awesome restaurant, vibrant atmosphere, Good food all round, "
LAubergeade,Paris,"French, European, Vegetarian Friendly",85,45,761,"Amazing Great Service Brilliant Food, Wonderful french cuisine in a familiar ath, 12/29/2017, 12/27/2017","Amazing Great Service Brilliant Food, Wonderful french cuisine in a familiar ath, "
Thai Spices,Paris,"Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options",86,45,441,"Excellent Thai Food, Best Thai food in Paris, 01/08/2018, 01/03/2018","Excellent Thai Food, Best Thai food in Paris, "
Les Climats,Paris,"French, European, Vegetarian Friendly",87,45,633,"If you love great food and terrific Burgun, Great wine list, good food, 01/04/2018, 12/13/2017","If you love great food and terrific Burgun, Great wine list, good food, "
Au Bon Accueil,Paris,"French, European, Vegetarian Friendly",88,45,754,"Excellent Restaurant, Fab family dinner, 12/29/2017, 12/27/2017","Excellent Restaurant, Fab family dinner, "
Papelli,Paris,"Pizza, Italian, Mediterranean, Cafe, Vegetarian Friendly",89,5,135,"Fantastic, Delicious pizza, 12/03/2017, 11/16/2017","Fantastic, Delicious pizza, "
Sur Mesure,Paris,"French, European, Vegetarian Friendly",90,45,765,"Just delicious in a very original and cosy, Best experience, 11/28/2017, 11/27/2017","Just delicious in a very original and cosy, Best experience, "
Bistrot Chez France,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",91,45,708,"Excellent- our favorite local restaurant, Our favorite restaurant in Paris, 01/05/2018, 11/28/2017","Excellent- our favorite local restaurant, Our favorite restaurant in Paris, "
The Hardware Societe,Paris,"Cafe, International, European, Australian, Vegetarian Friendly, Vegan Options, Gluten Free Options",92,45,209,"Gorgeous cafe, Best breakfast in town, 01/08/2018, 01/06/2018","Gorgeous cafe, Best breakfast in town, "
Roomies,Paris,"American, Fast Food, Vegetarian Friendly, Vegan Options",93,45,841,"Not a tourist trap, Nice burger and fries, 12/03/2017, 11/27/2017","Not a tourist trap, Nice burger and fries, "
Midi 12,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",94,45,539,"Nice French restaurant, Reccomend, 12/28/2017, 12/27/2017","Nice French restaurant, Reccomend, "
Mobster Diner,Paris,"American, Vegetarian Friendly",95,45,525,"Good homemade burgers, Great, 01/04/2018, 12/03/2017","Good homemade burgers, Great, "
LAnge 20,Paris,"French, European",96,45,2279,"Just as goodthe second time, Dependable Bistrot in Le Marais, 01/06/2018, 12/29/2017","Just as goodthe second time, Dependable Bistrot in Le Marais, "
Les Rupins,Paris,"Steakhouse, French, International, European, Vegetarian Friendly, Vegan Options",97,45,322,"Welcoming place with tasty food, Great find with an amazing offer , 01/04/2018, 12/24/2017","Welcoming place with tasty food, Great find with an amazing offer (40% off), "
Mancora Cebicheria,Paris,"Peruvian, Seafood, South American, Vegetarian Friendly, Vegan Options, Gluten Free Options",98,45,323,"Super ceviche with warm staff, Amazing food yum, 01/05/2018, 12/09/2017","Super ceviche with warm staff, Amazing food #foodcoma #yum, "
le papacionu,Paris,"Italian, Pizza, Vegetarian Friendly, Vegan Options",99,45,428,"amazing, Very popular pizza restaurant, 12/21/2017, 09/29/2017","amazing, Very popular pizza restaurant, "
LAnnexe,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",100,45,540,"Special family dinner in wonderful Montmar, Good choice, 01/07/2018, 01/04/2018","Special family dinner in wonderful Montmar, Good choice, "
Pottoka,Paris,"French, European, Vegetarian Friendly",101,45,942,"French Tapas?, Another Top-Notch Dinner, 01/03/2018, 01/01/2018","French Tapas?, Another Top-Notch Dinner, "
Jean Yves of Chef Jean-Yves Table,Paris,"French, Asian, Fusion, Gastropub",102,5,84,"Wonderful experience, A dining experience to remember, 12/30/2017, 12/12/2017","Wonderful experience, A dining experience to remember, "
Fermier Gourmet,Paris,"French, American, Barbecue, European, Street Food, Vegetarian Friendly, Gluten Free Options",103,45,269,"Small cozy place, Wow amazing food, 12/26/2017, 12/11/2017","Small cozy place, Wow amazing food, "
A Lendroit,Paris,"French, European, Delicatessen",104,45,357,"Excellent Bistro in an out-of-the-way loca, Absolutely Delicious, 12/02/2017, 09/21/2017","Excellent Bistro in an out-of-the-way loca, Absolutely Delicious, "
Comptoir Gourmet,Paris,"Italian, European, Vegetarian Friendly, Vegan Options",105,45,496,"Good quality, fine atmosphere but rather e, Two years later - the quality went even hi, 01/07/2018, 01/03/2018","Good quality, fine atmosphere but rather e, Two years later - the quality went even hi, "
Chez Max et Nico,Paris,"French, European, Vegetarian Friendly",106,45,210,"Relaxed, warm ambience - good value, Lovely dinner in Paris, 12/29/2017, 12/08/2017","Relaxed, warm ambience - good value, Lovely dinner in Paris, "
LArcane,Paris,"French, Vegetarian Friendly",107,5,112,"Sensational, Simply Brilliant, 12/07/2017, 10/15/2017","Sensational, Simply Brilliant, "
Le Petit Littre,Paris,"French, European, Vegetarian Friendly",108,45,403,"Best beef tartare ever, Great dinner in a cosy bistro, 01/05/2018, 12/18/2017","Best beef tartare ever, Great dinner in a cosy bistro, "
Le Cabanon de la Butte,Paris,"French, European, Vegetarian Friendly",109,45,226,"Xmas eve, Cost with fabulous views, 12/24/2017, 12/23/2017","Xmas eve, Cost with fabulous views, "
Le Jourdain,Paris,"French, Seafood, European, Gastropub, Gluten Free Options",110,45,323,"Original and intimate A must if in the ne, Great food and service, 12/17/2017, 12/02/2017","Original and intimate A must if in the ne, Great food and service, "
4 Pat,Paris,"Italian, French, European, Vegetarian Friendly",111,45,342,"Great place, Soooo funny, 12/27/2017, 12/12/2017","Great place, Soooo funny, "
Restaurant David Toutain,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",112,45,564,"Not quite good as last time, Amazing experience, 01/05/2018, 12/26/2017","Not quite good as last time, Amazing experience, "
Il Farniente,Paris,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",113,45,301,"Awesome place for fresh and tasty pasta wi, Very well, 12/11/2017, 07/25/2017","Awesome place for fresh and tasty pasta wi, Very well, "
LAcolyte de LInsolite,Paris,"French, European",114,45,164,"Incredible value, Amazing, 10/30/2017, 10/29/2017","Incredible value, Amazing, "
Il grano,Paris,"Pizza, Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",115,45,433,"10/10, Beautiful Pizza, 11/29/2017, 11/24/2017","10/10, Beautiful Pizza, "
La Jacobine,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",116,45,1857,"Excellent dishes and good service, Paris at its best, 01/09/2018, 01/08/2018","Excellent dishes and good service, Paris at its best, "
NEW JHELUM,Paris,"Indian, Pakistani, Vegetarian Friendly, Vegan Options, Gluten Free Options",117,45,290,"Perfect, perfect, Really great indian food, 12/31/2017, 12/30/2017","Perfect, perfect, Really great indian food, "
Chef Garozzo Restaurant Italien Sicilien,Paris,"Italian, Pizza, Seafood, Mediterranean, European, Vegetarian Friendly",118,45,425,"Very gold, Delighted, 12/29/2017, 12/17/2017","Very gold, Delighted, "
Le Reciproque,Paris,"French, European, Contemporary",119,5,140,"Great food served in a very friendly atmos, The best 35€ menu weve ever had, 10/19/2017, 08/09/2017","Great food served in a very friendly atmos, The best 35€ menu weve ever had, "
Le Pre Catelan,Paris,"French, European, Vegetarian Friendly",120,45,833,"Most Spectacular Ever?, Amazing place and excellent French food, 11/08/2017, 10/31/2017","Most Spectacular Ever?, Amazing place and excellent French food, "
Little Breizh,Paris,"Vegetarian Friendly, Vegan Options, Gluten Free Options",121,45,780,"Perfect End To Our Paris Holiday, Best place for crepes and fast, 12/17/2017, 12/10/2017","Perfect End To Our Paris Holiday, Best place for crepes and fast, "
Restaurant Lasserre,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",122,45,651,"Wonderful Service Wonderful Food, Amazing experience, 12/29/2017, 12/22/2017","Wonderful Service Wonderful Food, Amazing experience, "
Arnaud Nicolas,Paris,"French, European, Delicatessen, Pub, Gastropub, Vegetarian Friendly",123,5,118,"Fabulous dinner, Amazing food experience, 12/02/2017, 10/07/2017","Fabulous dinner, Amazing food experience, "
Saigon Pantheon,Paris,"Asian, Vietnamese, Vegetarian Friendly, Vegan Options, Gluten Free Options",124,45,811,"Worth a try, Excellent meal, 01/06/2018, 11/13/2017","Worth a try, Excellent meal, "
Le Volant,Paris,"French, European",125,45,491,"The crowd told a story, Absolutely perfect, 01/04/2018, 11/10/2017","The crowd told a story, Absolutely perfect, "
Chez Marcel,Paris,"French, Vegetarian Friendly",126,45,710,"Super, Formidable, 12/20/2017, 12/11/2017","Super, Formidable, "
Restaurant du Palais Royal,Paris,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",127,45,315,"Perfect in every way, Will come back every time I’m in Paris, 01/07/2018, 11/12/2017","Perfect in every way, Will come back every time I’m in Paris, "
Kraft Hot Dogs,Paris,"American, Fast Food",128,45,357,"Delicious, Wicked Good Hot Dogs, 12/27/2017, 12/21/2017","Delicious, Wicked Good Hot Dogs, "
Restaurant Le W,Paris,"French, European",129,45,419,"Unexpected delight, Wonderful service and presentation, 12/28/2017, 09/21/2017","Unexpected delight, Wonderful service and presentation, "
Les Tantes Jeanne,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",130,45,977,"Top restaurant in Paris, Amazing, 12/09/2017, 12/07/2017","Top restaurant in Paris, Amazing, "
Restaurant La Pie Noir,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",131,5,97,"AWESOME, Must visit, 01/06/2018, 01/05/2018","AWESOME, Must visit, "
Cuisine et Dependances,Paris,"French, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",132,45,366,"Cant Fault the Flavour, Great friendly, vibrant restaurant with a, 01/04/2018, 12/05/2017","Cant Fault the Flavour, Great friendly, vibrant restaurant with a, "
Le Louis,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",133,45,746,"Great restaurant to spend time eating at a, Great food, excellent music, 01/03/2018, 12/29/2017","Great restaurant to spend time eating at a, Great food, excellent music, "
La Pause Libanaise,Paris,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options",134,45,305,"Worth a visit - good food, good prices, Small, but good, 01/07/2018, 12/12/2017","Worth a visit - good food, good prices, Small, but good, "
Le Relais Gascon,Paris,"French, Vegetarian Friendly, Vegan Options, Gluten Free Options",135,45,1666,"Fantastic experience, Fantastic salad, generous portions, 01/07/2018, 01/06/2018","Fantastic experience, Fantastic salad, generous portions, "
Les Botanistes,Paris,"French, European, Vegetarian Friendly, Gluten Free Options",136,45,382,"A nice little bistro, What a delight, 11/30/2017, 11/27/2017","A nice little bistro, What a delight, "
